0,59,admin.,married,secondary,yes,no,yes
1,56,admin.,married,secondary,no,no,yes
2,41,technician,married,secondary,yes,no,yes
3,55,services,married,secondary,yes,no,yes
4,54,admin.,married,tertiary,no,no,yes
5,42,management,single,tertiary,yes,yes,yes
6,56,management,married,tertiary,yes,yes,yes
7,60,retired,divorced,secondary,yes,no,yes
8,39,technician,single,unknown,yes,no,yes
9,37,technician,married,secondary,yes,no,yes
10,34,admin.,married,secondary,no,no,yes
11,55,unemployed,divorced,secondary,yes,no,yes
12,28,services,single,secondary,yes,no,yes
13,30,technician,married,secondary,yes,no,yes
14,36,technician,married,secondary,yes,yes,yes
15,37,admin.,single,secondary,yes,yes,yes
16,45,blue-collar,married,secondary,yes,no,yes
17,53,services,divorced,primary,yes,yes,yes
18,38,admin.,single,secondary,yes,no,yes
19,30,blue-collar,married,secondary,yes,no,yes
20,29,management,married,tertiary,yes,yes,yes
21,46,blue-collar,single,tertiary,yes,no,yes
22,31,technician,single,tertiary,yes,no,yes
23,39,blue-collar,married,primary,no,no,yes
24,35,management,divorced,tertiary,yes,no,yes
25,32,blue-collar,single,primary,yes,no,yes
26,49,services,married,secondary,yes,no,yes
27,41,admin.,married,secondary,yes,no,yes
28,49,admin.,divorced,secondary,yes,yes,yes
29,28,admin.,divorced,secondary,yes,no,yes
30,43,management,single,tertiary,yes,no,yes
31,43,management,divorced,tertiary,yes,no,yes
32,43,blue-collar,married,primary,yes,no,yes
33,37,unemployed,single,secondary,yes,no,yes
34,35,blue-collar,single,secondary,yes,no,yes
35,31,technician,single,tertiary,yes,no,yes
36,46,technician,married,secondary,yes,no,yes
37,43,blue-collar,single,secondary,yes,no,yes
38,31,admin.,married,secondary,yes,no,yes
39,28,blue-collar,single,secondary,yes,no,yes
40,32,blue-collar,married,secondary,yes,no,yes
41,60,technician,married,primary,yes,no,yes
42,26,blue-collar,single,secondary,yes,no,yes
43,40,blue-collar,married,secondary,yes,no,yes
44,28,blue-collar,single,secondary,yes,no,yes
45,33,blue-collar,divorced,primary,yes,no,yes
46,45,blue-collar,married,primary,yes,no,yes
47,32,management,single,tertiary,no,no,yes
48,35,blue-collar,married,primary,no,no,yes
49,33,management,divorced,secondary,yes,no,yes
50,38,management,married,tertiary,yes,no,yes
51,24,services,single,secondary,yes,no,yes
52,54,retired,divorced,tertiary,no,no,yes
53,34,blue-collar,divorced,secondary,yes,no,yes
54,23,entrepreneur,single,primary,yes,no,yes
55,60,blue-collar,married,primary,yes,yes,yes
56,48,management,married,tertiary,yes,no,yes
57,45,entrepreneur,divorced,tertiary,yes,no,yes
58,36,blue-collar,married,secondary,yes,no,yes
59,52,management,married,unknown,yes,no,yes
60,37,entrepreneur,divorced,secondary,yes,yes,yes
61,46,blue-collar,married,primary,yes,no,yes
62,35,blue-collar,divorced,primary,yes,no,yes
63,43,technician,married,secondary,yes,no,yes
64,52,housemaid,married,secondary,yes,no,yes
65,53,technician,divorced,primary,yes,no,yes
66,48,blue-collar,divorced,primary,yes,no,yes
67,41,blue-collar,single,primary,yes,no,yes
68,39,management,divorced,tertiary,yes,yes,yes
69,59,retired,married,secondary,yes,yes,yes
70,41,blue-collar,married,secondary,yes,no,yes
71,48,blue-collar,married,secondary,yes,no,yes
72,40,admin.,married,secondary,yes,no,yes
73,48,blue-collar,married,secondary,yes,no,yes
74,60,retired,married,primary,yes,no,yes
75,40,technician,single,unknown,yes,no,yes
76,57,technician,married,tertiary,no,no,yes
77,51,blue-collar,married,secondary,yes,no,yes
78,41,blue-collar,divorced,secondary,yes,no,yes
79,41,blue-collar,married,secondary,yes,no,yes
80,46,admin.,married,secondary,yes,yes,yes
81,52,blue-collar,divorced,primary,yes,no,yes
82,43,self-employed,single,unknown,no,no,yes
83,59,blue-collar,married,primary,yes,no,yes
84,44,blue-collar,married,unknown,yes,no,yes
85,49,admin.,single,secondary,yes,no,yes
86,49,unknown,married,primary,yes,yes,yes
87,50,entrepreneur,married,primary,yes,no,yes
88,40,services,married,primary,yes,no,yes
89,41,admin.,married,primary,yes,no,yes
90,44,technician,married,tertiary,yes,no,yes
91,60,services,single,primary,yes,no,yes
92,29,management,married,tertiary,no,no,yes
93,41,retired,divorced,primary,yes,no,yes
94,41,blue-collar,married,primary,yes,no,yes
95,42,technician,single,secondary,yes,no,yes
96,46,blue-collar,married,secondary,yes,no,yes
97,32,services,single,secondary,yes,no,yes
98,36,services,single,unknown,yes,no,yes
99,39,technician,married,tertiary,yes,yes,yes
100,33,management,married,tertiary,yes,no,yes
101,42,admin.,divorced,secondary,yes,no,yes
102,31,self-employed,single,tertiary,yes,no,yes
103,40,services,married,secondary,yes,no,yes
104,26,blue-collar,married,secondary,yes,no,yes
105,45,blue-collar,married,primary,yes,no,yes
106,31,blue-collar,married,secondary,yes,no,yes
107,29,admin.,single,secondary,yes,yes,yes
108,27,technician,single,secondary,yes,no,yes
109,37,services,divorced,secondary,yes,no,yes
110,40,blue-collar,married,primary,yes,no,yes
111,33,blue-collar,single,secondary,yes,no,yes
112,24,technician,single,secondary,yes,no,yes
113,24,blue-collar,married,primary,yes,no,yes
114,50,admin.,divorced,secondary,yes,no,yes
115,27,technician,single,tertiary,yes,no,yes
116,54,management,single,tertiary,yes,no,yes
117,30,technician,single,secondary,yes,no,yes
118,34,blue-collar,married,primary,yes,yes,yes
119,37,management,single,secondary,yes,no,yes
120,41,admin.,single,secondary,yes,no,yes
121,47,blue-collar,married,secondary,yes,no,yes
122,31,admin.,married,secondary,yes,no,yes
123,31,blue-collar,married,secondary,yes,no,yes
124,43,services,divorced,secondary,yes,no,yes
125,37,management,divorced,tertiary,yes,no,yes
126,30,technician,single,tertiary,yes,yes,yes
127,41,technician,married,secondary,yes,no,yes
128,30,technician,single,tertiary,yes,no,yes
129,36,blue-collar,married,secondary,yes,no,yes
130,35,blue-collar,divorced,secondary,yes,no,yes
131,29,services,single,secondary,yes,no,yes
132,35,blue-collar,married,primary,yes,no,yes
133,31,blue-collar,married,secondary,yes,no,yes
134,35,services,married,secondary,yes,no,yes
135,34,technician,single,secondary,yes,no,yes
136,31,admin.,single,secondary,yes,yes,yes
137,44,technician,divorced,secondary,yes,no,yes
138,36,blue-collar,married,primary,yes,yes,yes
139,39,technician,single,secondary,yes,no,yes
140,35,blue-collar,married,unknown,yes,no,yes
141,41,blue-collar,married,primary,yes,no,yes
142,31,blue-collar,married,secondary,yes,no,yes
143,31,blue-collar,single,primary,yes,no,yes
144,34,blue-collar,married,secondary,yes,no,yes
145,32,technician,married,secondary,yes,no,yes
146,36,management,married,tertiary,yes,yes,yes
147,30,blue-collar,single,secondary,yes,no,yes
148,37,technician,single,secondary,yes,no,yes
149,54,management,divorced,tertiary,yes,no,yes
150,36,blue-collar,married,primary,yes,no,yes
151,31,management,single,tertiary,yes,no,yes
152,27,technician,married,secondary,yes,yes,yes
153,34,retired,married,primary,no,no,yes
154,32,services,single,secondary,yes,no,yes
155,30,technician,single,tertiary,yes,no,yes
156,32,technician,single,tertiary,yes,no,yes
157,37,technician,single,secondary,yes,no,yes
158,38,blue-collar,married,secondary,yes,no,yes
159,32,blue-collar,married,secondary,yes,no,yes
160,33,blue-collar,married,secondary,yes,no,yes
161,35,blue-collar,married,primary,yes,no,yes
162,35,self-employed,divorced,tertiary,yes,no,yes
163,30,blue-collar,single,secondary,yes,no,yes
164,30,blue-collar,married,secondary,yes,yes,yes
165,34,blue-collar,married,secondary,yes,no,yes
166,45,blue-collar,divorced,primary,yes,no,yes
167,45,admin.,married,secondary,yes,no,yes
168,33,blue-collar,married,secondary,yes,no,yes
169,33,blue-collar,divorced,secondary,yes,no,yes
170,44,management,divorced,tertiary,no,no,yes
171,40,blue-collar,married,primary,yes,no,yes
172,31,blue-collar,married,secondary,yes,no,yes
173,30,technician,married,tertiary,yes,no,yes
174,44,technician,divorced,secondary,yes,no,yes
175,34,services,married,secondary,yes,no,yes
176,31,admin.,single,secondary,yes,no,yes
177,45,blue-collar,married,secondary,yes,no,yes
178,37,blue-collar,married,secondary,no,no,yes
179,28,self-employed,single,tertiary,yes,no,yes
180,32,admin.,single,secondary,yes,no,yes
181,37,blue-collar,divorced,secondary,yes,no,yes
182,34,management,married,tertiary,yes,no,yes
183,38,admin.,divorced,secondary,yes,no,yes
184,28,admin.,single,secondary,yes,no,yes
185,31,management,divorced,tertiary,yes,no,yes
186,30,services,married,secondary,yes,no,yes
187,30,admin.,married,secondary,yes,yes,yes
188,59,services,married,secondary,yes,no,yes
189,24,blue-collar,married,secondary,yes,no,yes
190,26,services,single,secondary,yes,no,yes
191,59,retired,single,secondary,yes,no,yes
192,53,technician,married,secondary,yes,no,yes
193,30,entrepreneur,single,primary,yes,yes,yes
194,28,management,single,tertiary,yes,no,yes
195,37,admin.,married,secondary,yes,no,yes
196,24,self-employed,single,tertiary,yes,no,yes
197,30,admin.,single,secondary,yes,yes,yes
198,25,blue-collar,married,secondary,yes,no,yes
199,44,services,divorced,secondary,yes,yes,yes
200,29,management,married,tertiary,no,no,yes
201,26,management,single,tertiary,yes,no,yes
202,26,technician,single,secondary,yes,no,yes
203,27,services,single,secondary,yes,no,yes
204,25,self-employed,single,secondary,yes,no,yes
205,28,management,married,secondary,yes,no,yes
206,23,services,single,secondary,yes,no,yes
207,27,blue-collar,single,secondary,yes,yes,yes
208,23,technician,single,tertiary,yes,no,yes
209,46,technician,married,secondary,no,no,yes
210,23,student,single,unknown,yes,no,yes
211,57,retired,married,tertiary,yes,yes,yes
212,34,management,single,tertiary,yes,no,yes
213,28,student,single,secondary,yes,no,yes
214,51,entrepreneur,married,unknown,yes,no,yes
215,35,blue-collar,married,secondary,yes,yes,yes
216,35,admin.,married,secondary,yes,no,yes
217,27,blue-collar,single,secondary,yes,no,yes
218,56,blue-collar,married,secondary,yes,no,yes
219,45,unemployed,divorced,secondary,yes,no,yes
220,60,blue-collar,divorced,secondary,yes,no,yes
221,56,technician,married,secondary,yes,no,yes
222,33,blue-collar,single,primary,yes,no,yes
223,27,management,single,tertiary,yes,no,yes
224,30,admin.,married,secondary,yes,no,yes
225,45,blue-collar,divorced,primary,yes,no,yes
226,29,blue-collar,single,secondary,yes,no,yes
227,38,management,divorced,tertiary,yes,no,yes
228,34,blue-collar,married,primary,yes,no,yes
229,30,blue-collar,married,secondary,yes,no,yes
230,44,blue-collar,single,primary,yes,no,yes
231,36,management,single,tertiary,yes,no,yes
232,40,technician,single,secondary,yes,no,yes
233,38,technician,married,secondary,yes,no,yes
234,36,blue-collar,single,secondary,yes,yes,yes
235,37,management,divorced,secondary,yes,no,yes
236,35,management,single,tertiary,yes,no,yes
237,48,technician,married,secondary,no,no,yes
238,38,admin.,divorced,secondary,yes,no,yes
239,40,services,married,primary,yes,no,yes
240,42,unemployed,divorced,secondary,yes,no,yes
241,46,management,divorced,tertiary,yes,no,yes
242,35,technician,divorced,secondary,yes,no,yes
243,34,technician,divorced,secondary,yes,no,yes
244,29,self-employed,single,tertiary,yes,no,yes
245,32,services,married,secondary,yes,no,yes
246,50,unemployed,married,secondary,yes,no,yes
247,35,blue-collar,married,secondary,yes,yes,yes
248,36,technician,single,secondary,yes,no,yes
249,53,blue-collar,divorced,primary,yes,no,yes
250,32,technician,single,secondary,yes,no,yes
251,46,management,single,tertiary,yes,no,yes
252,26,management,single,tertiary,yes,no,yes
253,45,technician,single,secondary,yes,no,yes
254,31,unemployed,divorced,primary,yes,no,yes
255,29,management,single,tertiary,yes,no,yes
256,53,entrepreneur,single,secondary,yes,no,yes
257,27,blue-collar,married,primary,yes,no,yes
258,39,management,married,tertiary,yes,no,yes
259,36,services,married,secondary,yes,no,yes
260,41,blue-collar,married,primary,yes,yes,yes
261,36,services,married,primary,yes,no,yes
262,32,technician,married,secondary,yes,no,yes
263,35,services,married,secondary,yes,no,yes
264,36,management,single,tertiary,yes,no,yes
265,35,management,married,tertiary,yes,no,yes
266,30,blue-collar,single,secondary,yes,no,yes
267,42,blue-collar,married,secondary,yes,no,yes
268,42,technician,single,secondary,yes,no,yes
269,32,blue-collar,married,primary,yes,no,yes
270,40,unemployed,married,secondary,yes,no,yes
271,29,blue-collar,single,secondary,yes,no,yes
272,44,management,divorced,tertiary,yes,no,yes
273,32,technician,single,secondary,yes,no,yes
274,31,unemployed,married,secondary,yes,yes,yes
275,40,self-employed,married,secondary,yes,yes,yes
276,43,entrepreneur,married,secondary,no,no,yes
277,27,management,single,secondary,yes,no,yes
278,37,services,single,secondary,yes,no,yes
279,23,services,single,secondary,yes,no,yes
280,25,management,married,primary,yes,no,yes
281,26,blue-collar,single,secondary,yes,no,yes
282,47,blue-collar,divorced,primary,yes,no,yes
283,45,services,single,primary,yes,no,yes
284,35,admin.,married,secondary,yes,no,yes
285,32,technician,single,tertiary,yes,no,yes
286,45,management,divorced,secondary,yes,no,yes
287,24,blue-collar,married,secondary,yes,yes,yes
288,30,admin.,divorced,secondary,yes,no,yes
289,33,blue-collar,single,secondary,yes,no,yes
290,29,services,single,secondary,yes,no,yes
291,38,blue-collar,married,primary,yes,no,yes
292,23,blue-collar,single,secondary,yes,no,yes
293,27,management,single,tertiary,yes,no,yes
294,27,management,single,tertiary,yes,no,yes
295,29,services,single,secondary,yes,no,yes
296,30,self-employed,married,tertiary,yes,yes,yes
